config_label,qid,exec_ms
hnsw_ef40,1,0.741
hnsw_ef40,2,0.643
hnsw_ef40,3,0.588
hnsw_ef40,4,1.124
hnsw_ef40,5,0.94
hnsw_ef40,6,1.626
hnsw_ef40,7,1.338
hnsw_ef40,8,0.928
hnsw_ef40,9,0.92
hnsw_ef40,10,0.922
hnsw_ef40,11,1.666
hnsw_ef40,12,1.689
hnsw_ef40,13,1.724
hnsw_ef40,14,1.455
hnsw_ef40,15,0.922
hnsw_ef40,16,0.922
hnsw_ef40,17,0.919
hnsw_ef40,18,0.919
hnsw_ef40,19,0.919
hnsw_ef40,20,0.923
hnsw_ef40,21,0.92
hnsw_ef40,22,0.924
hnsw_ef40,23,0.925
hnsw_ef40,24,1.904
hnsw_ef40,25,2.118
hnsw_ef40,26,1.858
hnsw_ef40,27,0.924
hnsw_ef40,28,0.919
hnsw_ef40,29,1.091
hnsw_ef40,30,2.001
hnsw_ef40,31,1.08
hnsw_ef40,32,1.084
hnsw_ef40,33,1.066
hnsw_ef40,34,1.038
hnsw_ef40,35,1.035
hnsw_ef40,36,1.043
hnsw_ef40,37,0.996
hnsw_ef40,38,1.004
hnsw_ef40,39,0.961
hnsw_ef40,40,0.96
hnsw_ef40,41,0.949
hnsw_ef40,42,0.92
hnsw_ef40,43,0.917
hnsw_ef40,44,0.913
hnsw_ef40,45,0.919
hnsw_ef40,46,0.925
hnsw_ef40,47,0.933
hnsw_ef40,48,0.922
hnsw_ef40,49,1.208
hnsw_ef40,50,2.113
tv_4bit_k100,1,46.423
tv_4bit_k100,2,49.163
tv_4bit_k100,3,48.962
tv_4bit_k100,4,49.149
tv_4bit_k100,5,48.638
tv_4bit_k100,6,48.561
tv_4bit_k100,7,48.417
tv_4bit_k100,8,48.723
tv_4bit_k100,9,48.628
tv_4bit_k100,10,48.639
tv_4bit_k100,11,48.363
tv_4bit_k100,12,29.473
tv_4bit_k100,13,21.394
tv_4bit_k100,14,21.385
tv_4bit_k100,15,21.666
tv_4bit_k100,16,21.456
tv_4bit_k100,17,21.407
tv_4bit_k100,18,21.446
tv_4bit_k100,19,21.502
tv_4bit_k100,20,21.395
tv_4bit_k100,21,21.623
tv_4bit_k100,22,21.489
tv_4bit_k100,23,21.437
tv_4bit_k100,24,38.448
tv_4bit_k100,25,48.507
tv_4bit_k100,26,48.113
tv_4bit_k100,27,23.764
tv_4bit_k100,28,24.156
tv_4bit_k100,29,23.941
tv_4bit_k100,30,25.144
tv_4bit_k100,31,25.776
tv_4bit_k100,32,30.931
tv_4bit_k100,33,48.886
tv_4bit_k100,34,48.645
tv_4bit_k100,35,48.609
tv_4bit_k100,36,48.514
tv_4bit_k100,37,48.567
tv_4bit_k100,38,48.345
tv_4bit_k100,39,48.55
tv_4bit_k100,40,48.584
tv_4bit_k100,41,48.772
tv_4bit_k100,42,48.406
tv_4bit_k100,43,48.582
tv_4bit_k100,44,48.483
tv_4bit_k100,45,48.494
tv_4bit_k100,46,25.191
tv_4bit_k100,47,24.303
tv_4bit_k100,48,24.124
tv_4bit_k100,49,24.112
tv_4bit_k100,50,24.133
tv_4bit_k500,1,180.18
tv_4bit_k500,2,121.664
tv_4bit_k500,3,143.237
tv_4bit_k500,4,215.654
tv_4bit_k500,5,156.75
tv_4bit_k500,6,212.495
tv_4bit_k500,7,215.657
tv_4bit_k500,8,153.718
tv_4bit_k500,9,120.16
tv_4bit_k500,10,156.876
tv_4bit_k500,11,216.614
tv_4bit_k500,12,215.616
tv_4bit_k500,13,217.584
tv_4bit_k500,14,203.992
tv_4bit_k500,15,107.546
tv_4bit_k500,16,165.068
tv_4bit_k500,17,214.333
tv_4bit_k500,18,170.508
tv_4bit_k500,19,216.552
tv_4bit_k500,20,215.34
tv_4bit_k500,21,140.185
tv_4bit_k500,22,162.933
tv_4bit_k500,23,216.782
tv_4bit_k500,24,143.162
tv_4bit_k500,25,95.361
tv_4bit_k500,26,95.45
tv_4bit_k500,27,95.527
tv_4bit_k500,28,95.425
tv_4bit_k500,29,101.399
tv_4bit_k500,30,108.781
tv_4bit_k500,31,129.184
tv_4bit_k500,32,215.691
tv_4bit_k500,33,206.027
tv_4bit_k500,34,217.452
tv_4bit_k500,35,217.087
tv_4bit_k500,36,166.187
tv_4bit_k500,37,116.036
tv_4bit_k500,38,206.066
tv_4bit_k500,39,216.215
tv_4bit_k500,40,215.775
tv_4bit_k500,41,216.37
tv_4bit_k500,42,175.703
tv_4bit_k500,43,132.489
tv_4bit_k500,44,188.977
tv_4bit_k500,45,216.096
tv_4bit_k500,46,215.744
tv_4bit_k500,47,216.914
tv_4bit_k500,48,184.637
tv_4bit_k500,49,121.938
tv_4bit_k500,50,206.865
